duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,working-hours,standby-pay,shift-differential,statutory-holidays,cost-of-living-adjustment_-999,cost-of-living-adjustment_none,cost-of-living-adjustment_tc,cost-of-living-adjustment_tcf,cost-of-living-adjustment_nan,pension_-999,pension_empl_contr,pension_none,pension_ret_allw,pension_nan,education-allowance_-999,education-allowance_no,education-allowance_yes,education-allowance_nan,vacation_-999,vacation_average,vacation_below_average,vacation_generous,vacation_nan,longterm-disability-assistance_-999,longterm-disability-assistance_no,longterm-disability-assistance_yes,longterm-disability-assistance_nan,contribution-to-dental-plan_-999,contribution-to-dental-plan_full,contribution-to-dental-plan_half,contribution-to-dental-plan_none,contribution-to-dental-plan_nan,bereavement-assistance_-999,bereavement-assistance_no,bereavement-assistance_yes,bereavement-assistance_nan,contribution-to-health-plan_-999,contribution-to-health-plan_full,contribution-to-health-plan_half,contribution-to-health-plan_none,contribution-to-health-plan_nan,clazz
2,4.5,4.5,-999.0,-999,-999,-999,10,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
2,3.0,3.0,-999.0,33,-999,-999,12,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,5.0,4.0,-999.0,37,-999,5,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3,2.0,2.5,-999.0,35,-999,-999,10,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,4.5,4.5,5.0,40,-999,-999,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3,3.0,2.0,2.5,40,-999,5,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,2.5,2.5,-999.0,38,-999,-999,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,4.0,5.0,-999.0,40,-999,3,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,2.0,2.5,2.1,40,2,1,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,2.0,2.0,-999.0,40,-999,-999,11,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,2.0,-999.0,-999.0,40,4,0,11,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,2.8,-999.0,-999.0,38,2,3,9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,2.0,2.5,2.0,37,-999,-999,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,4.5,4.0,-999.0,40,-999,4,12,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1,4.0,-999.0,-999.0,-999,-999,-999,11,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,2.0,3.0,-999.0,38,-999,-999,12,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2,2.5,2.5,-999.0,39,-999,-999,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,2.5,3.0,-999.0,40,-999,-999,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,4.0,4.0,-999.0,40,-999,3,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2,4.5,4.0,-999.0,40,-999,2,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2,4.5,4.0,-999.0,40,-999,5,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,4.6,4.6,-999.0,38,-999,-999,-999,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
2,5.0,4.5,-999.0,38,14,5,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2,5.7,4.5,-999.0,40,-999,-999,11,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,7.0,5.3,-999.0,-999,-999,-999,11,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3,2.0,3.0,-999.0,-999,-999,-999,-999,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
3,3.5,4.0,4.5,35,-999,-999,13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3,4.0,3.5,-999.0,40,-999,6,11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
3,5.0,4.4,-999.0,38,10,6,11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3,5.0,5.0,5.0,40,-999,-999,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
3,6.0,6.0,4.0,35,-999,14,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
