2011,2012,2013r,2014r,2015p,F00,'15/'14,F01, 2011-2015,Item_ Beef and Veal,Item_ Horse Meat,Item_ Other Cattle,Item_ Other Meat (2),Item_ Pork ,Item_ Processed Meat,Item_ Purebred Cattle,"Item_Alfalfa Meal and Pellets, Dehydrated",Item_Barley,Item_Canola Seed,"Item_Canola/Mustard Oil, Crude","Item_Canola/Mustard Oil, Refined",Item_Cereals Prepared,Item_Crops-1Total,Item_Dairy Produce,Item_Hay and Fodder (incl. Alfalfa Cubes),Item_Honey,Item_Lentils,Item_Linseed,Item_Live Cattle-1Total,Item_Live Hogs,Item_Malt Roasted or not Roasted,Item_Meats (1)-1Total,Item_Mustard Seed,Item_Oats,Item_Oilseed Cake and Meal,Item_Other Cereals Milled,Item_Other Cereals Unmilled,Item_Other Dried Beans,Item_Other Feeds of Vegetable Origin.,Item_Other Oilseeds,"Item_Peas, Dried",Item_Peat Moss,"Item_Potatoes, Seed and Other.",Item_Prepared Animal Feeds,Item_Processed Potatoes,Item_Seeds for Sowing,Item_Tallow,Item_Vegetables and Fruits.,Item_Wheat,Item_Wheat or Meslin Flour,Item_nan,clazz
25799,38752,58227,58364,47928,0,-17.9,0,45814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2730,4916,7622,9409,14318,0,52.2,0,7799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28039,26239,29927,40405,36118,0,-10.6,0,32146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
2836740,2999516,2609422,3319319,3105404,0,-6.4,0,2974080,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
288653,291858,272435,349959,326573,0,-6.7,0,305895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
298,14163,3211,2813,2224,0,-20.9,0,4542,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
336220,383843,290780,359811,225777,0,-37.3,0,319286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
336281,383889,291730,360874,226071,0,-37.4,0,319769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38711,24039,26878,24984,21683,0,-13.2,0,27259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
388023,329320,339904,380761,393191,0,3.3,0,366240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
409112,601395,572566,625825,564627,0,-9.8,0,554705,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43741,43897,66293,13359,43691,0,227.1,0,42196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
454701,510524,367146,186330,366653,0,96.8,0,377071,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
490,2020,235,808,70,0,-91.4,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5543766,6715670,6845987,7331799,7561405,3,3.1,0,6799725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
5576,6485,7328,10966,3559,0,-67.5,0,6783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
61148,80215,92438,81500,94675,0,16.2,0,81995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6131,7126,8507,5829,6890,18,18.2,0,6896,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,46,950,1063,294,0,-72.3,0,483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
636466,599942,571400,614794,643722,0,4.7,0,613265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
735274,724411,662717,775080,808222,0,4.3,0,741141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7426,8811,8312,8652,6919,-20,-20.0,0,8024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9532,8176,9761,11225,10109,0,-9.9,0,9761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
9604596,11704285,10967031,12047421,11985836,0,-0.5,0,11261834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
98895,110428,130932,127740,119366,0,-6.6,0,117472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
